ticker,mentions,Upvotes,Total Comments,Change (1d),date
ABCL,1,12,13,0.0,2025-07-29
ADAP,1,1,2,0.0,2025-07-29
ADIL,2,54,24,100.0,2025-07-29
ADV,1,8,9,0.0,2025-07-29
AEO,1,64,34,0.0,2025-07-29
AIN,1,57,58,0.0,2025-07-29
AMC,1,29,36,0.0,2025-07-29
AMD,11,8448,743,1000.0,2025-07-29
AMZN,2,288,70,100.0,2025-07-29
ANET,1,18,1,0.0,2025-07-29
ANVS,1,2,4,0.0,2025-07-29
API,1,5,1,0.0,2025-07-29
APP,1,3285,199,0.0,2025-07-29
APPS,1,3,6,0.0,2025-07-29
AREN,4,253,125,300.0,2025-07-29
ASML,1,87,15,0.0,2025-07-29
ASPI,1,2,4,0.0,2025-07-29
ATHS,1,69,73,0.0,2025-07-29
ATYR,2,19,11,100.0,2025-07-29
AU,1,0,1,0.0,2025-07-29
AVGO,1,18,1,0.0,2025-07-29
BA,2,285,67,100.0,2025-07-29
BBAI,1,2,6,0.0,2025-07-29
BIO,6,125,97,500.0,2025-07-29
BKNG,2,301,64,100.0,2025-07-29
BNGO,1,1,2,0.0,2025-07-29
BR,1,1,3,0.0,2025-07-29
BROS,1,101,30,0.0,2025-07-29
BTU,1,5,1,0.0,2025-07-29
BURU,1,4,4,0.0,2025-07-29
BV,1,7,7,0.0,2025-07-29
CAPS,1,36,3,0.0,2025-07-29
CARS,1,208,38,0.0,2025-07-29
CC,2,2,4,100.0,2025-07-29
CELC,1,3,6,0.0,2025-07-29
CHSN,2,145,129,100.0,2025-07-29
CHTR,1,39,47,0.0,2025-07-29
CIO,1,8,9,0.0,2025-07-29
CL,1,2,2,0.0,2025-07-29
CLOV,1,1907,209,0.0,2025-07-29
CPA,1,58504,549,0.0,2025-07-29
CRSP,1,4,12,0.0,2025-07-29
CYBR,1,5,7,0.0,2025-07-29
CZR,2,44,29,100.0,2025-07-29
DC,1,8,9,0.0,2025-07-29
DEC,2,67,37,100.0,2025-07-29
DMAC,1,5,1,0.0,2025-07-29
DNA,1,7,2,0.0,2025-07-29
DNUT,1,1298,219,-95.0,2025-07-29
DOCN,1,283,111,0.0,2025-07-29
DOCU,1,18,1,0.0,2025-07-29
DRRX,1,6,12,0.0,2025-07-29
DTC,2,163,54,100.0,2025-07-29
DTE,1,18,1,0.0,2025-07-29
DUOL,1,5,7,0.0,2025-07-29
DYNX,1,3,6,0.0,2025-07-29
DYNXW,1,3,6,0.0,2025-07-29
EBAY,1,1,10,0.0,2025-07-29
ELV,1,114,172,0.0,2025-07-29
EMA,1,14,33,0.0,2025-07-29
EOD,1,29,36,0.0,2025-07-29
EQT,1,5,1,0.0,2025-07-29
ESP,1,34,60,0.0,2025-07-29
ET,1,2,4,0.0,2025-07-29
EXP,1,1,5,0.0,2025-07-29
EXPO,1,2,1,0.0,2025-07-29
FLWS,1,12,8,0.0,2025-07-29
FUBO,1,93,34,0.0,2025-07-29
GF,1,0,3,0.0,2025-07-29
GIBO,10,143,344,900.0,2025-07-29
GLP,1,43,30,0.0,2025-07-29
GLXY,2,116,101,100.0,2025-07-29
GOOG,1,0,2,0.0,2025-07-29
GOOGL,1,966,210,0.0,2025-07-29
GOSS,1,3,2,0.0,2025-07-29
HCTI,3,83,50,200.0,2025-07-29
HL,1,6,3,0.0,2025-07-29
HOOD,2,285,65,100.0,2025-07-29
HUBS,1,515,212,0.0,2025-07-29
IBKR,1,27,4,0.0,2025-07-29
IBRX,1,29,15,0.0,2025-07-29
ICU,1,1,8,0.0,2025-07-29
IMG,1,10,19,0.0,2025-07-29
IMO,2,35,53,100.0,2025-07-29
INTC,1,478,101,0.0,2025-07-29
IOVA,1,38,22,0.0,2025-07-29
IP,3,78,19,200.0,2025-07-29
IR,1,11,13,0.0,2025-07-29
IX,1,40,19,0.0,2025-07-29
IXHL,3,85,39,200.0,2025-07-29
JNJ,1,3,3,0.0,2025-07-29
KR,1,42,9,0.0,2025-07-29
KSS,3,666,136,200.0,2025-07-29
LB,3,731,240,200.0,2025-07-29
LGPS,1,3,6,0.0,2025-07-29
LIDR,1,3,6,0.0,2025-07-29
LQDA,1,65,26,0.0,2025-07-29
LYRA,1,40,19,0.0,2025-07-29
MBOT,1,31,15,0.0,2025-07-29
MC,1,31,15,0.0,2025-07-29
MCS,1,31,15,0.0,2025-07-29
MDLZ,1,18,1,0.0,2025-07-29
META,1,283,63,0.0,2025-07-29
MP,2,6904,752,100.0,2025-07-29
MRK,1,18,1,0.0,2025-07-29
MSTR,2,66,51,100.0,2025-07-29
MULN,1,0,29,0.0,2025-07-29
MVIS,2,19,11,100.0,2025-07-29
NCNA,1,36,22,0.0,2025-07-29
NEGG,3,13,34,200.0,2025-07-29
NEHC,2,12,13,100.0,2025-07-29
NEXM,1,208,19,0.0,2025-07-29
NIO,1,19,8,0.0,2025-07-29
NOV,1,3,3,0.0,2025-07-29
NPV,1,515,212,0.0,2025-07-29
NTAP,1,18,1,0.0,2025-07-29
NUE,1,18,1,0.0,2025-07-29
NVDA,4,92,42,300.0,2025-07-29
NVNI,2,194,139,100.0,2025-07-29
NVO,1,462,169,0.0,2025-07-29
NVTS,1,3,6,0.0,2025-07-29
OI,3,980,241,200.0,2025-07-29
OLB,2,52,66,100.0,2025-07-29
OPEN,3,1639,319,200.0,2025-07-29
OPTT,2,0,61,100.0,2025-07-29
ORIS,1,8,18,0.0,2025-07-29
OZ,2,3,7,100.0,2025-07-29
PALI,1,3,1,0.0,2025-07-29
PANW,1,18,1,0.0,2025-07-29
PB,1,0,30,0.0,2025-07-29
PD,1,2,4,0.0,2025-07-29
PEW,2,241,141,100.0,2025-07-29
PFS,1,515,212,0.0,2025-07-29
PFSA,1,14,19,0.0,2025-07-29
PG,1,2,4,0.0,2025-07-29
PH,1,65,26,0.0,2025-07-29
PLTR,4,3147,891,300.0,2025-07-29
PM,1,13,7,0.0,2025-07-29
PR,5,46,26,400.0,2025-07-29
PSTV,1,11,13,0.0,2025-07-29
PT,1,12,13,0.0,2025-07-29
PYPL,1,2,4,0.0,2025-07-29
RC,1,0,1,0.0,2025-07-29
RCAT,1,0,30,0.0,2025-07-29
RCL,1,18,1,0.0,2025-07-29
RDDT,2,61,36,100.0,2025-07-29
RGEN,1,10,19,0.0,2025-07-29
RH,1,2,13,0.0,2025-07-29
RIME,1,1,5,0.0,2025-07-29
RKT,4,211,78,400.0,2025-07-29
RNXT,1,2,1,0.0,2025-07-29
ROKU,1,283,63,0.0,2025-07-29
RRC,1,8,9,0.0,2025-07-29
RS,4,1084,257,300.0,2025-07-29
RSI,3,58,45,200.0,2025-07-29
SBET,2,201,76,100.0,2025-07-29
SCD,1,1,8,0.0,2025-07-29
SERV,1,31,15,0.0,2025-07-29
SEZL,1,0,8,0.0,2025-07-29
SGMO,1,4,2,0.0,2025-07-29
SKYX,1,6,1,0.0,2025-07-29
SMCI,3,389,131,200.0,2025-07-29
SNTI,1,1,2,0.0,2025-07-29
SOFI,3,1291,226,200.0,2025-07-29
SOUN,3,62,58,200.0,2025-07-29
SOWG,1,7,7,0.0,2025-07-29
SPOT,2,1039,276,100.0,2025-07-29
SRPT,3,52,33,200.0,2025-07-29
SST,1,9,1,0.0,2025-07-29
STAI,1,6,3,0.0,2025-07-29
STR,1,26,28,0.0,2025-07-29
SU,1,5980,366,0.0,2025-07-29
SURG,1,2,1,0.0,2025-07-29
THC,1,2,7,0.0,2025-07-29
TLRY,1,94,54,0.0,2025-07-29
TNFA,3,112,95,200.0,2025-07-29
TPL,1,8,9,0.0,2025-07-29
TPR,1,18,1,0.0,2025-07-29
TSLA,8,785,209,700.0,2025-07-29
UNH,4,470,365,300.0,2025-07-29
UPLD,1,12,10,0.0,2025-07-29
UPS,3,2,44,200.0,2025-07-29
USAS,1,2,1,0.0,2025-07-29
UTHR,1,65,26,0.0,2025-07-29
UUUU,3,6906,756,200.0,2025-07-29
VAPE,1,9,11,0.0,2025-07-29
VENU,1,93,34,0.0,2025-07-29
VERV,1,2,13,0.0,2025-07-29
VRNA,1,65,26,0.0,2025-07-29
VST,1,5,7,0.0,2025-07-29
WB,1,8,9,0.0,2025-07-29
WEN,1,178,63,0.0,2025-07-29
WKSP,1,14,5,0.0,2025-07-29
WLGS,1,113,92,0.0,2025-07-29
WT,1,5,1,0.0,2025-07-29
YHC,3,33,59,200.0,2025-07-29
ABNB,1,284,179,0.0,2025-07-30
AC,1,0,2,0.0,2025-07-30
ADAP,4,16,11,300.0,2025-07-30
ADIL,2,62,24,100.0,2025-07-30
AGI,1,29,20,0.0,2025-07-30
AIN,1,8,3,0.0,2025-07-30
AMD,9,9309,767,800.0,2025-07-30
AMZN,1,295,64,0.0,2025-07-30
ANVS,1,5,8,0.0,2025-07-30
API,2,7,5,100.0,2025-07-30
APP,1,3314,199,0.0,2025-07-30
APPS,1,14,12,0.0,2025-07-30
AREN,6,287,168,500.0,2025-07-30
ASML,1,94,15,0.0,2025-07-30
ASPI,2,3,8,100.0,2025-07-30
ASTS,1,16,8,0.0,2025-07-30
ASX,1,3,1,0.0,2025-07-30
ATHS,1,75,76,0.0,2025-07-30
ATYR,2,42,29,100.0,2025-07-30
AU,2,5,2,100.0,2025-07-30
BA,2,298,70,100.0,2025-07-30
BBAI,1,4,7,0.0,2025-07-30
BIO,4,80,43,300.0,2025-07-30
BKNG,1,295,64,0.0,2025-07-30
BNGO,1,1,3,0.0,2025-07-30
BR,1,0,3,0.0,2025-07-30
BRO,2,13,19,100.0,2025-07-30
BROS,1,104,35,0.0,2025-07-30
BTU,1,7,1,0.0,2025-07-30
BV,1,6,7,0.0,2025-07-30
CAPS,1,37,3,0.0,2025-07-30
CARS,1,216,38,0.0,2025-07-30
CC,1,8,24,0.0,2025-07-30
CCS,1,8,24,0.0,2025-07-30
CELC,1,14,12,0.0,2025-07-30
CHSN,3,171,162,200.0,2025-07-30
CLOV,1,2127,236,0.0,2025-07-30
CPA,1,58760,554,0.0,2025-07-30
CRSP,1,13,12,0.0,2025-07-30
CVNA,1,1,1,0.0,2025-07-30
CZR,1,33,39,0.0,2025-07-30
DEC,1,34,22,0.0,2025-07-30
DEVS,1,3,1,0.0,2025-07-30
DOCN,1,292,115,0.0,2025-07-30
DRRX,1,10,15,0.0,2025-07-30
DTC,2,164,54,100.0,2025-07-30
DYNX,1,14,12,0.0,2025-07-30
DYNXW,1,14,12,0.0,2025-07-30
ELV,1,112,172,0.0,2025-07-30
EMA,1,28,59,0.0,2025-07-30
EOD,1,75,34,0.0,2025-07-30
ESP,1,51,88,0.0,2025-07-30
ET,1,3,6,0.0,2025-07-30
FLWS,1,15,9,0.0,2025-07-30
FUBO,1,148,42,0.0,2025-07-30
GF,1,0,3,0.0,2025-07-30
GIBO,5,147,221,400.0,2025-07-30
GLXY,2,181,129,100.0,2025-07-30
GOOGL,2,1258,392,100.0,2025-07-30
GRAB,1,3,3,0.0,2025-07-30
GTI,1,0,29,0.0,2025-07-30
HCTI,4,93,57,300.0,2025-07-30
HL,1,13,11,0.0,2025-07-30
HOOD,2,579,243,100.0,2025-07-30
HUBS,1,513,212,0.0,2025-07-30
IBKR,2,29,5,100.0,2025-07-30
IBRX,1,28,15,0.0,2025-07-30
ICU,2,18,18,100.0,2025-07-30
IMG,1,12,23,0.0,2025-07-30
IMO,1,33,47,0.0,2025-07-30
INTC,1,474,101,0.0,2025-07-30
IONQ,1,609,240,0.0,2025-07-30
IOVA,1,47,24,0.0,2025-07-30
IP,2,2,4,100.0,2025-07-30
IR,2,42,34,100.0,2025-07-30
IX,1,42,19,0.0,2025-07-30
IXHL,2,62,24,100.0,2025-07-30
KR,1,47,11,0.0,2025-07-30
KSS,3,668,137,200.0,2025-07-30
LB,1,513,212,0.0,2025-07-30
LCID,1,7,4,0.0,2025-07-30
LGPS,1,14,12,0.0,2025-07-30
LIDR,1,14,12,0.0,2025-07-30
LYRA,1,42,19,0.0,2025-07-30
MBOT,1,24,29,0.0,2025-07-30
MBRX,1,2,2,0.0,2025-07-30
META,1,295,64,0.0,2025-07-30
MP,2,6918,761,100.0,2025-07-30
MSTR,1,36,18,0.0,2025-07-30
MULN,1,0,29,0.0,2025-07-30
MVIS,1,13,5,0.0,2025-07-30
MVST,1,10,8,0.0,2025-07-30
NCNA,2,54,38,100.0,2025-07-30
NEGG,2,21,23,100.0,2025-07-30
NEHC,1,10,5,0.0,2025-07-30
NIO,1,19,8,0.0,2025-07-30
NPV,1,513,212,0.0,2025-07-30
NVDA,3,107,53,200.0,2025-07-30
NVNI,2,45,40,100.0,2025-07-30
NVO,2,974,387,100.0,2025-07-30
NVTS,1,14,12,0.0,2025-07-30
OI,3,999,248,200.0,2025-07-30
OLB,2,52,66,100.0,2025-07-30
OP,1,1,40,0.0,2025-07-30
OPEN,3,1666,332,200.0,2025-07-30
OPTT,1,0,34,0.0,2025-07-30
OZ,2,3,9,100.0,2025-07-30
PB,1,0,34,0.0,2025-07-30
PD,1,5,8,0.0,2025-07-30
PEW,2,274,174,100.0,2025-07-30
PFS,1,513,212,0.0,2025-07-30
PFSA,1,17,24,0.0,2025-07-30
PG,1,3,6,0.0,2025-07-30
PLTR,4,3404,930,300.0,2025-07-30
PM,1,1,1,0.0,2025-07-30
PR,5,50,57,400.0,2025-07-30
PSTV,1,22,18,0.0,2025-07-30
PYPL,1,3,6,0.0,2025-07-30
QS,1,124,33,0.0,2025-07-30
RADX,1,3,1,0.0,2025-07-30
RC,1,2,1,0.0,2025-07-30
RCAT,1,0,34,0.0,2025-07-30
RDDT,3,353,217,200.0,2025-07-30
RF,1,0,1,0.0,2025-07-30
RGEN,1,12,23,0.0,2025-07-30
RH,1,3760,690,0.0,2025-07-30
RIME,1,2,6,0.0,2025-07-30
RIVN,1,34,39,0.0,2025-07-30
RKT,3,167,43,300.0,2025-07-30
ROKU,1,295,64,0.0,2025-07-30
RR,1,8,3,0.0,2025-07-30
RS,5,1131,285,400.0,2025-07-30
RSI,2,394,210,100.0,2025-07-30
SBET,2,217,82,100.0,2025-07-30
SCD,2,18,18,100.0,2025-07-30
SEZL,1,0,8,0.0,2025-07-30
SMCI,2,311,77,100.0,2025-07-30
SNTI,1,1,3,0.0,2025-07-30
SOFI,4,2404,424,300.0,2025-07-30
SOUN,3,82,62,200.0,2025-07-30
SOWG,1,6,7,0.0,2025-07-30
SPOT,2,1402,342,100.0,2025-07-30
SRPT,5,168,169,400.0,2025-07-30
SST,1,11,1,0.0,2025-07-30
STAI,1,13,11,0.0,2025-07-30
STR,1,33,39,0.0,2025-07-30
SU,1,6612,386,0.0,2025-07-30
THC,1,6,17,0.0,2025-07-30
TLRY,1,101,59,0.0,2025-07-30
TNFA,1,13,8,0.0,2025-07-30
TSLA,6,515,140,500.0,2025-07-30
UBER,1,3,3,0.0,2025-07-30
UNH,5,931,592,400.0,2025-07-30
UPS,3,6,50,200.0,2025-07-30
USAS,1,2,1,0.0,2025-07-30
UUUU,3,6921,767,200.0,2025-07-30
VAPE,1,8,11,0.0,2025-07-30
VENU,1,148,42,0.0,2025-07-30
VGZ,1,3,1,0.0,2025-07-30
VWAV,1,0,1,0.0,2025-07-30
WEN,1,187,69,0.0,2025-07-30
WKSP,1,20,5,0.0,2025-07-30
WLGS,1,115,92,0.0,2025-07-30
WT,1,7,1,0.0,2025-07-30
YHC,3,44,63,200.0,2025-07-30
ABNB,1,283,179,0.0,2025-07-30
AC,1,0,2,0.0,2025-07-30
ADAP,4,15,11,300.0,2025-07-30
ADIL,2,62,24,100.0,2025-07-30
AGI,1,29,20,0.0,2025-07-30
AIN,1,9,3,0.0,2025-07-30
AMD,9,9305,767,800.0,2025-07-30
AMZN,1,295,64,0.0,2025-07-30
ANVS,1,5,8,0.0,2025-07-30
API,2,7,5,100.0,2025-07-30
APP,1,3312,199,0.0,2025-07-30
APPS,1,15,12,0.0,2025-07-30
AREN,6,295,168,500.0,2025-07-30
ASML,1,99,15,0.0,2025-07-30
ASPI,2,2,8,100.0,2025-07-30
ASTS,1,16,8,0.0,2025-07-30
ASX,1,3,1,0.0,2025-07-30
ATHS,1,73,76,0.0,2025-07-30
ATYR,2,40,29,100.0,2025-07-30
AU,2,5,2,100.0,2025-07-30
BA,2,297,70,100.0,2025-07-30
BBAI,1,5,7,0.0,2025-07-30
BIO,4,80,43,300.0,2025-07-30
BKNG,1,295,64,0.0,2025-07-30
BNGO,1,2,3,0.0,2025-07-30
BR,1,0,3,0.0,2025-07-30
BRO,2,10,19,100.0,2025-07-30
BROS,1,101,35,0.0,2025-07-30
BTU,1,7,1,0.0,2025-07-30
BV,1,6,7,0.0,2025-07-30
CAPS,1,35,3,0.0,2025-07-30
CARS,1,222,38,0.0,2025-07-30
CC,1,8,24,0.0,2025-07-30
CCS,1,8,24,0.0,2025-07-30
CELC,1,15,12,0.0,2025-07-30
CHSN,3,172,162,200.0,2025-07-30
CLOV,1,2121,236,0.0,2025-07-30
CPA,1,58753,554,0.0,2025-07-30
CRSP,1,13,12,0.0,2025-07-30
CVNA,1,1,1,0.0,2025-07-30
CZR,1,36,39,0.0,2025-07-30
DEC,1,37,22,0.0,2025-07-30
DEVS,1,3,1,0.0,2025-07-30
DOCN,1,296,115,0.0,2025-07-30
DRRX,1,10,15,0.0,2025-07-30
DTC,2,167,54,100.0,2025-07-30
DYNX,1,15,12,0.0,2025-07-30
DYNXW,1,15,12,0.0,2025-07-30
ELV,1,112,172,0.0,2025-07-30
EMA,1,26,59,0.0,2025-07-30
EOD,1,74,34,0.0,2025-07-30
ESP,1,54,88,0.0,2025-07-30
ET,1,2,6,0.0,2025-07-30
FLWS,1,15,9,0.0,2025-07-30
FUBO,1,145,42,0.0,2025-07-30
GF,1,0,3,0.0,2025-07-30
GIBO,5,145,221,400.0,2025-07-30
GLXY,2,178,129,100.0,2025-07-30
GOOGL,2,1254,392,100.0,2025-07-30
GRAB,1,3,3,0.0,2025-07-30
GTI,1,0,29,0.0,2025-07-30
HCTI,4,96,57,300.0,2025-07-30
HL,1,14,11,0.0,2025-07-30
HOOD,2,578,243,100.0,2025-07-30
HUBS,1,513,212,0.0,2025-07-30
IBKR,2,27,5,100.0,2025-07-30
IBRX,1,27,15,0.0,2025-07-30
ICU,2,18,18,100.0,2025-07-30
IMG,1,13,23,0.0,2025-07-30
IMO,1,32,47,0.0,2025-07-30
INTC,1,476,101,0.0,2025-07-30
IONQ,1,606,240,0.0,2025-07-30
IOVA,1,47,24,0.0,2025-07-30
IP,2,3,4,100.0,2025-07-30
IR,2,43,34,100.0,2025-07-30
IX,1,42,19,0.0,2025-07-30
IXHL,2,62,24,100.0,2025-07-30
KR,1,49,11,0.0,2025-07-30
KSS,3,674,137,200.0,2025-07-30
LB,1,513,212,0.0,2025-07-30
LCID,1,8,4,0.0,2025-07-30
LGPS,1,15,12,0.0,2025-07-30
LIDR,1,15,12,0.0,2025-07-30
LYRA,1,42,19,0.0,2025-07-30
MBOT,1,26,29,0.0,2025-07-30
MBRX,1,2,2,0.0,2025-07-30
META,1,295,64,0.0,2025-07-30
MP,2,6920,761,100.0,2025-07-30
MSTR,1,38,18,0.0,2025-07-30
MULN,1,0,29,0.0,2025-07-30
MVIS,1,12,5,0.0,2025-07-30
MVST,1,10,8,0.0,2025-07-30
NCNA,2,59,38,100.0,2025-07-30
NEGG,2,24,23,100.0,2025-07-30
NEHC,1,9,5,0.0,2025-07-30
NIO,1,19,8,0.0,2025-07-30
NPV,1,513,212,0.0,2025-07-30
NVDA,3,107,53,200.0,2025-07-30
NVNI,2,46,40,100.0,2025-07-30
NVO,2,976,387,100.0,2025-07-30
NVTS,1,15,12,0.0,2025-07-30
OI,3,997,248,200.0,2025-07-30
OLB,2,51,66,100.0,2025-07-30
OP,1,3,40,0.0,2025-07-30
OPEN,3,1678,332,200.0,2025-07-30
OPTT,1,0,34,0.0,2025-07-30
OZ,2,2,9,100.0,2025-07-30
PB,1,0,34,0.0,2025-07-30
PD,1,5,8,0.0,2025-07-30
PEW,2,273,174,100.0,2025-07-30
PFS,1,513,212,0.0,2025-07-30
PFSA,1,15,24,0.0,2025-07-30
PG,1,2,6,0.0,2025-07-30
PLTR,4,3397,930,300.0,2025-07-30
PM,1,1,1,0.0,2025-07-30
PR,5,49,57,400.0,2025-07-30
PSTV,1,21,18,0.0,2025-07-30
PYPL,1,2,6,0.0,2025-07-30
QS,1,121,33,0.0,2025-07-30
RADX,1,3,1,0.0,2025-07-30
RC,1,2,1,0.0,2025-07-30
RCAT,1,0,34,0.0,2025-07-30
RDDT,3,347,217,200.0,2025-07-30
RF,1,0,1,0.0,2025-07-30
RGEN,1,13,23,0.0,2025-07-30
RH,1,3767,690,0.0,2025-07-30
RIME,1,2,6,0.0,2025-07-30
RIVN,1,34,39,0.0,2025-07-30
RKT,3,167,43,300.0,2025-07-30
ROKU,1,295,64,0.0,2025-07-30
RR,1,9,3,0.0,2025-07-30
RS,5,1141,285,400.0,2025-07-30
RSI,2,397,210,100.0,2025-07-30
SBET,2,219,82,100.0,2025-07-30
SCD,2,18,18,100.0,2025-07-30
SEZL,1,0,8,0.0,2025-07-30
SMCI,2,311,77,100.0,2025-07-30
SNTI,1,2,3,0.0,2025-07-30
SOFI,4,2391,424,300.0,2025-07-30
SOUN,3,82,62,200.0,2025-07-30
SOWG,1,6,7,0.0,2025-07-30
SPOT,2,1401,342,100.0,2025-07-30
SRPT,5,164,169,400.0,2025-07-30
SST,1,10,1,0.0,2025-07-30
STAI,1,14,11,0.0,2025-07-30
STR,1,36,39,0.0,2025-07-30
SU,1,6612,386,0.0,2025-07-30
THC,1,5,17,0.0,2025-07-30
TLRY,1,99,59,0.0,2025-07-30
TNFA,1,14,8,0.0,2025-07-30
TSLA,6,520,140,500.0,2025-07-30
UBER,1,3,3,0.0,2025-07-30
UNH,5,936,592,400.0,2025-07-30
UPS,3,5,50,200.0,2025-07-30
USAS,1,2,1,0.0,2025-07-30
UUUU,3,6922,767,200.0,2025-07-30
VAPE,1,9,11,0.0,2025-07-30
VENU,1,145,42,0.0,2025-07-30
VGZ,1,3,1,0.0,2025-07-30
VWAV,1,0,1,0.0,2025-07-30
WEN,1,191,69,0.0,2025-07-30
WKSP,1,20,5,0.0,2025-07-30
WLGS,1,114,92,0.0,2025-07-30
WT,1,7,1,0.0,2025-07-30
YHC,3,44,63,200.0,2025-07-30
ABNB,1,287,179,0.0,2025-07-30
AC,1,0,2,0.0,2025-07-30
ADAP,4,16,11,300.0,2025-07-30
ADIL,2,64,24,100.0,2025-07-30
AGI,1,28,20,0.0,2025-07-30
AIN,1,8,3,0.0,2025-07-30
AMD,9,9314,767,800.0,2025-07-30
AMZN,1,291,64,0.0,2025-07-30
ANVS,1,5,8,0.0,2025-07-30
API,2,5,5,100.0,2025-07-30
APP,1,3310,199,0.0,2025-07-30
APPS,1,14,12,0.0,2025-07-30
AREN,6,292,168,500.0,2025-07-30
ASML,1,96,15,0.0,2025-07-30
ASPI,2,2,8,100.0,2025-07-30
ASTS,1,16,8,0.0,2025-07-30
ASX,1,3,1,0.0,2025-07-30
ATHS,1,73,76,0.0,2025-07-30
ATYR,2,41,29,100.0,2025-07-30
AU,2,5,2,100.0,2025-07-30
BA,2,293,70,100.0,2025-07-30
BBAI,1,4,7,0.0,2025-07-30
BIO,4,81,43,300.0,2025-07-30
BKNG,1,291,64,0.0,2025-07-30
BNGO,1,2,3,0.0,2025-07-30
BR,1,0,3,0.0,2025-07-30
BRO,2,12,19,100.0,2025-07-30
BROS,1,104,35,0.0,2025-07-30
BTU,1,5,1,0.0,2025-07-30
BV,1,6,7,0.0,2025-07-30
CAPS,1,35,3,0.0,2025-07-30
CARS,1,217,38,0.0,2025-07-30
CC,1,7,24,0.0,2025-07-30
CCS,1,7,24,0.0,2025-07-30
CELC,1,14,12,0.0,2025-07-30
CHSN,3,171,162,200.0,2025-07-30
CLOV,1,2129,236,0.0,2025-07-30
CPA,1,58750,554,0.0,2025-07-30
CRSP,1,13,12,0.0,2025-07-30
CVNA,1,1,1,0.0,2025-07-30
CZR,1,35,39,0.0,2025-07-30
DEC,1,37,22,0.0,2025-07-30
DEVS,1,3,1,0.0,2025-07-30
DOCN,1,295,115,0.0,2025-07-30
DRRX,1,10,15,0.0,2025-07-30
DTC,2,165,54,100.0,2025-07-30
DYNX,1,14,12,0.0,2025-07-30
DYNXW,1,14,12,0.0,2025-07-30
ELV,1,112,172,0.0,2025-07-30
EMA,1,27,59,0.0,2025-07-30
EOD,1,74,34,0.0,2025-07-30
ESP,1,51,88,0.0,2025-07-30
ET,1,2,6,0.0,2025-07-30
FLWS,1,16,9,0.0,2025-07-30
FUBO,1,150,42,0.0,2025-07-30
GF,1,0,3,0.0,2025-07-30
GIBO,5,145,221,400.0,2025-07-30
GLXY,2,182,129,100.0,2025-07-30
GOOGL,2,1262,392,100.0,2025-07-30
GRAB,1,3,3,0.0,2025-07-30
GTI,1,0,29,0.0,2025-07-30
HCTI,4,97,57,300.0,2025-07-30
HL,1,14,11,0.0,2025-07-30
HOOD,2,578,243,100.0,2025-07-30
HUBS,1,517,212,0.0,2025-07-30
IBKR,2,27,5,100.0,2025-07-30
IBRX,1,28,15,0.0,2025-07-30
ICU,2,18,18,100.0,2025-07-30
IMG,1,11,23,0.0,2025-07-30
IMO,1,31,47,0.0,2025-07-30
INTC,1,477,101,0.0,2025-07-30
IONQ,1,611,240,0.0,2025-07-30
IOVA,1,41,24,0.0,2025-07-30
IP,2,3,4,100.0,2025-07-30
IR,2,44,34,100.0,2025-07-30
IX,1,44,19,0.0,2025-07-30
IXHL,2,64,24,100.0,2025-07-30
KR,1,47,11,0.0,2025-07-30
KSS,3,668,137,200.0,2025-07-30
LB,1,517,212,0.0,2025-07-30
LCID,1,8,4,0.0,2025-07-30
LGPS,1,14,12,0.0,2025-07-30
LIDR,1,14,12,0.0,2025-07-30
LYRA,1,44,19,0.0,2025-07-30
MBOT,1,27,29,0.0,2025-07-30
MBRX,1,2,2,0.0,2025-07-30
META,1,291,64,0.0,2025-07-30
MP,2,6920,761,100.0,2025-07-30
MSTR,1,39,18,0.0,2025-07-30
MULN,1,0,29,0.0,2025-07-30
MVIS,1,12,5,0.0,2025-07-30
MVST,1,10,8,0.0,2025-07-30
NCNA,2,58,38,100.0,2025-07-30
NEGG,2,24,23,100.0,2025-07-30
NEHC,1,8,5,0.0,2025-07-30
NIO,1,20,8,0.0,2025-07-30
NPV,1,517,212,0.0,2025-07-30
NVDA,3,104,53,200.0,2025-07-30
NVNI,2,46,40,100.0,2025-07-30
NVO,2,978,387,100.0,2025-07-30
NVTS,1,14,12,0.0,2025-07-30
OI,3,999,248,200.0,2025-07-30
OLB,2,50,66,100.0,2025-07-30
OP,1,0,40,0.0,2025-07-30
OPEN,3,1668,332,200.0,2025-07-30
OPTT,1,0,34,0.0,2025-07-30
OZ,2,2,9,100.0,2025-07-30
PB,1,0,34,0.0,2025-07-30
PD,1,5,8,0.0,2025-07-30
PEW,2,273,174,100.0,2025-07-30
PFS,1,517,212,0.0,2025-07-30
PFSA,1,15,24,0.0,2025-07-30
PG,1,2,6,0.0,2025-07-30
PLTR,4,3408,930,300.0,2025-07-30
PM,1,1,1,0.0,2025-07-30
PR,5,53,57,400.0,2025-07-30
PSTV,1,23,18,0.0,2025-07-30
PYPL,1,2,6,0.0,2025-07-30
QS,1,123,33,0.0,2025-07-30
RADX,1,3,1,0.0,2025-07-30
RC,1,2,1,0.0,2025-07-30
RCAT,1,0,34,0.0,2025-07-30
RDDT,3,358,217,200.0,2025-07-30
RF,1,0,1,0.0,2025-07-30
RGEN,1,11,23,0.0,2025-07-30
RH,1,3764,690,0.0,2025-07-30
RIME,1,2,6,0.0,2025-07-30
RIVN,1,37,39,0.0,2025-07-30
